Id,SalePrice
1461,122993.28
1462,165128.97
1463,183493.33
1464,190627.64
1465,191132.3
1466,175895.28
1467,172785.89
1468,167663.61
1469,184811.78
1470,125303.46
1471,199530.66
1472,97924.92
1473,96154.414
1474,152330.78
1475,127289.48
1476,386124.4
1477,261187.88
1478,285062.84
1479,252554.95
1480,507211.28
1481,317995.1
1482,207829.28
1483,170114.66
1484,168177.64
1485,181057.28
1486,192620.94
1487,323781.9
1488,234919.14
1489,205931.22
1490,223272.47
1491,192521.28
1492,90250.26
1493,191427.45
1494,298956.6
1495,285542.75
1496,231310.53
1497,183219.66
1498,160649.5
1499,162960.73
1500,154615.8
1501,173457.0
1502,156030.1
1503,301106.88
1504,240017.39
1505,225413.64
1506,177337.25
1507,239094.77
1508,193850.97
1509,158446.0
1510,145854.31
1511,140640.75
1512,171701.95
1513,145844.98
1514,170740.73
1515,199642.75
1516,158036.67
1517,164468.77
1518,133198.42
1519,228189.1
1520,133598.45
1521,133911.14
1522,171546.31
1523,110783.65
1524,122642.03
1525,125132.25
1526,121932.164
1527,105587.15
1528,135578.69
1529,148731.75
1530,175414.61
1531,105393.93
1532,102892.44
1533,145900.52
1534,122684.02
1535,157570.72
1536,111616.93
1537,67984.24
1538,170120.7
1539,203661.14
1540,94763.555
1541,140204.83
1542,136411.14
1543,210438.39
1544,76567.13
1545,109533.7
1546,127490.375
1547,129122.99
1548,135005.52
1549,115923.29
1550,140806.47
1551,118071.36
1552,144866.9
1553,158560.3
1554,110182.46
1555,167896.23
1556,76714.5
1557,112892.35
1558,95573.09
1559,89352.45
1560,143162.16
1561,131466.66
1562,129120.29
1563,123046.38
1564,155937.81
1565,143768.69
1566,241079.94
1567,71311.695
1568,226530.84
1569,135428.69
1570,138585.02
1571,123888.69
1572,148727.97
1573,257987.48
1574,116177.6
1575,229230.89
1576,233449.81
1577,196764.58
1578,148151.69
1579,148124.42
1580,189311.61
1581,154454.2
1582,126697.82
1583,333404.84
1584,233531.48
1585,140239.5
1586,73211.06
1587,95424.13
1588,150640.81
1589,95310.53
1590,134916.34
1591,93439.76
1592,117439.305
1593,131667.64
1594,161202.11
1595,114125.11
1596,238443.4
1597,189961.9
1598,209413.8
1599,189961.34
1600,181892.27
1601,73631.055
1602,117122.42
1603,94942.414
1604,275946.1
1605,250691.69
1606,170849.2
1607,186516.67
1608,213715.47
1609,191269.64
1610,144873.5
1611,137468.62
1612,158213.23
1613,160744.03
1614,129273.43
1615,88920.26
1616,68292.836
1617,94295.05
1618,125001.89
1619,142106.86
1620,170726.11
1621,135464.28
1622,139582.11
1623,290229.2
1624,215285.4
1625,130458.81
1626,166103.7
1627,184483.1
1628,280763.88
1629,179141.17
1630,351542.03
1631,221083.67
1632,243578.14
1633,173798.7
1634,187410.5
1635,179267.62
1636,153158.97
1637,191537.11
1638,204696.69
1639,178904.8
1640,258081.48
1641,174680.4
1642,217847.17
1643,223864.84
1644,227716.72
1645,186541.16
1646,155859.31
1647,161163.69
1648,132244.77
1649,137587.95
1650,119293.11
1651,124482.34
1652,98317.02
1653,99885.13
1654,145654.56
1655,148047.22
1656,145966.98
1657,146302.34
1658,147489.31
1659,132326.77
1660,156429.2
1661,462545.06
1662,408211.28
1663,395094.16
1664,371781.12
1665,315841.4
1666,330696.22
1667,360989.0
1668,335702.4
1669,293146.72
1670,354615.53
1671,262577.12
1672,514911.6
1673,311000.8
1674,248729.39
1675,186202.62
1676,188408.7
1677,215820.72
1678,453352.5
1679,385236.72
1680,333060.88
1681,257395.19
1682,304364.8
1683,175584.34
1684,174809.47
1685,172894.12
1686,169169.44
1687,168798.6
1688,186208.36
1689,193173.67
1690,192932.86
1691,182210.67
1692,263555.16
1693,167040.5
1694,181252.88
1695,165298.39
1696,264699.5
1697,170977.75
1698,379542.0
1699,320598.34
1700,245512.1
1701,266369.34
1702,255739.81
1703,254038.98
1704,299309.25
1705,225680.4
1706,412349.97
1707,213216.02
1708,206369.92
1709,286856.1
1710,222924.72
1711,252358.86
1712,259571.8
1713,267799.62
1714,220804.44
1715,206733.52
1716,188774.84
1717,175751.55
1718,137249.83
1719,202069.64
1720,243186.73
1721,172809.1
1722,127603.625
1723,152308.86
1724,218521.6
1725,241070.06
1726,186463.73
1727,160083.66
1728,179485.19
1729,163724.62
1730,166673.36
1731,124532.72
1732,130600.734
1733,122915.96
1734,120680.49
1735,132920.86
1736,114652.484
1737,354737.06
1738,216443.2
1739,295106.06
1740,236561.44
1741,198550.67
1742,170832.2
1743,172884.81
1744,298424.6
1745,227123.53
1746,211224.95
1747,221985.45
1748,221543.9
1749,147814.83
1750,129512.625
1751,234453.03
1752,122784.5
1753,149223.38
1754,203298.86
1755,169057.23
1756,129974.484
1757,121952.88
1758,140835.72
1759,161244.9
1760,162776.39
1761,143324.58
1762,180926.33
1763,171040.64
1764,117464.91
1765,185441.05
1766,175487.03
1767,220359.31
1768,148579.98
1769,177277.92
1770,150864.48
1771,130495.79
1772,134475.28
1773,124606.59
1774,130392.11
1775,139979.81
1776,120477.266
1777,114118.96
1778,143587.78
1779,117224.63
1780,175199.16
1781,130428.77
1782,97765.58
1783,138947.61
1784,104922.17
1785,117392.6
1786,153562.72
1787,168773.39
1788,63273.7
1789,103496.695
1790,83691.086
1791,193963.47
1792,156957.52
1793,134767.17
1794,149631.97
1795,133445.5
1796,124449.336
1797,116442.41
1798,124748.22
1799,114461.39
1800,134171.05
1801,129891.38
1802,143545.36
1803,152722.12
1804,144098.16
1805,138283.95
1806,117133.71
1807,132562.77
1808,126764.73
1809,117552.836
1810,144787.6
1811,99281.94
1812,93880.53
1813,122117.09
1814,93242.44
1815,48784.617
1816,99042.99
1817,111423.71
1818,148665.11
1819,123132.31
1820,60257.184
1821,110082.04
1822,142133.27
1823,42374.383
1824,135884.36
1825,132483.45
1826,100757.01
1827,106242.39
1828,139085.1
1829,114018.195
1830,141227.02
1831,158655.16
1832,83074.016
1833,148042.75
1834,119916.734
1835,136957.44
1836,124581.61
1837,88380.79
1838,126905.484
1839,84848.0
1840,152659.75
1841,146135.83
1842,74896.56
1843,136219.72
1844,137392.9
1845,139452.81
1846,155154.1
1847,164001.67
1848,48970.68
1849,112783.21
1850,120885.4
1851,153169.64
1852,127800.81
1853,130568.04
1854,171917.28
1855,148761.83
1856,216140.58
1857,158376.8
1858,134785.31
1859,119227.9
1860,143904.84
1861,118339.07
1862,305679.8
1863,289949.25
1864,290169.62
1865,342003.62
1866,337844.22
1867,243558.4
1868,294261.2
1869,202094.47
1870,242642.12
1871,245332.77
1872,171624.33
1873,233826.33
1874,143014.47
1875,202026.53
1876,189831.9
1877,217173.17
1878,202404.1
1879,132725.16
1880,134633.22
1881,247959.8
1882,257566.62
1883,191162.86
1884,207604.17
1885,255813.94
1886,289372.97
1887,206321.47
1888,288782.66
1889,164891.81
1890,125584.9
1891,132743.77
1892,104751.016
